,Data,dolnośląskie,kujawsko -pomorskie,lubelskie,lubuskie,łódzkie,małopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,Total
47,15.02,1531,2481,1486,616,1394,1028,3570,348,440,596,1240,14730
48,16.02,2118,2997,1272,988,1518,1497,3908,563,617,737,1878,18093
49,17.02,2417,3011,1528,1109,1790,1603,3906,724,530,662,1801,19081
50,18.02,1676,2643,1099,1040,1230,1259,3601,491,444,653,1664,15800
51,19.02,1676,2187,989,799,1249,1116,2978,412,386,487,1284,13563
52,20.02,910,1267,592,653,750,740,2020,314,227,292,823,8588
53,21.02,549,990,372,417,545,483,1791,171,154,219,619,6310
54,22.02,1199,2161,1124,615,1242,859,2600,351,290,462,1134,12037
55,23.02,1323,2161,1069,789,1109,1019,3394,327,320,448,1046,13005
56,24.02,1481,1839,873,816,1098,839,2578,349,192,446,1077,11588
57,25.02,1243,1786,763,848,831,841,2725,338,248,319,916,10858
58,26.02,947,1405,730,721,727,678,2231,285,194,368,704,8990
59,27.02,697,950,395,469,377,498,1557,125,112,150,551,5881
60,28.02,453,614,235,313,391,337,1217,145,98,119,481,4403
62,01.03,875,1472,876,458,763,654,2023,186,173,307,711,8498
63,02.03,1059,1396,712,657,816,759,2452,262,207,344,924,9588
64,03.03,1048,1479,701,620,711,702,2380,253,168,346,835,9243
65,04.03,989,1295,637,590,627,641,2042,206,143,241,733,8144
66,05.03,947,1209,712,797,605,580,2007,238,132,284,672,8183
67,06.03,579,646,319,323,391,409,1483,102,113,129,454,4948
68,07.03,402,602,246,297,279,306,1081,82,48,87,349,3779
69,08.03,821,1355,955,505,752,545,2144,216,167,335,709,8504
70,09.03,1060,1452,841,563,740,805,1891,242,179,328,854,8955
71,10.03,1031,1290,780,602,729,688,2328,204,144,268,700,8764
72,11.03,820,1038,768,508,619,647,1798,193,142,227,742,7502
73,12.03,905,953,664,494,569,610,1805,260,150,240,621,7271
74,13.03,533,581,484,294,365,483,1436,134,102,114,581,5107
75,14.03,385,369,246,182,326,307,1050,107,89,84,382,3527
76,15.03,815,1022,1025,498,769,615,2181,249,172,252,835,8433
77,16.03,1202,1014,1009,568,793,896,2473,257,166,254,916,9548
78,17.03,962,889,890,495,720,741,1983,224,180,242,855,8181
79,18.03,946,769,699,402,587,672,2056,238,223,209,845,7646
80,19.03,789,728,739,429,579,537,1891,230,160,223,721,7026
81,20.03,435,387,351,210,273,375,977,99,128,95,409,3739
82,21.03,317,224,214,130,270,296,932,71,66,59,344,2923
83,22.03,705,690,850,254,667,613,1771,195,201,198,750,6894
84,23.03,864,602,796,380,587,641,1646,165,186,230,775,6872
85,24.03,782,553,701,303,552,580,1473,157,197,171,676,6145
86,25.03,701,449,597,290,432,510,1443,186,134,132,590,5464
87,26.03,550,318,541,240,420,383,697,149,142,149,436,4025
88,27.03,304,186,275,135,155,272,675,64,99,63,239,2467
89,28.03,179,103,146,49,164,162,495,50,50,25,191,1614
90,29.03,502,347,607,204,445,446,1231,126,149,128,450,4635
91,30.03,506,239,462,126,370,400,980,139,163,125,345,3855
92,31.03,429,232,418,177,327,335,784,110,112,100,409,3433
94,01.04,325,229,356,156,254,292,640,107,104,98,201,2762
95,02.04,197,91,152,68,112,167,460,51,84,38,110,1530
96,03.04,59,15,35,5,34,47,82,18,28,13,30,366
97,04.04,41,4,50,8,38,39,89,11,22,13,21,336
98,05.04,176,79,152,59,116,139,363,41,51,62,114,1352
99,06.04,160,55,98,44,92,106,296,33,58,37,84,1063
100,07.04,135,64,129,31,87,141,267,37,41,39,64,1035
101,08.04,140,60,101,24,82,114,234,30,45,27,95,952
102,09.04,162,60,110,30,81,134,232,28,82,31,82,1032
103,10.04,30,8,29,13,32,38,92,10,27,7,18,304
104,11.04,25,8,21,3,24,37,76,14,16,12,8,244
105,12.04,135,60,144,42,96,127,257,39,67,55,118,1140
106,13.04,128,47,93,14,98,108,249,36,44,35,81,933
107,14.04,115,41,100,25,69,96,226,31,31,29,81,844
108,15.04,95,42,100,30,61,91,242,20,66,29,79,855
109,16.04,71,41,78,26,79,106,203,23,28,34,80,769
110,17.04,16,16,18,8,31,25,51,6,7,9,21,208
111,18.04,18,8,26,3,17,19,38,2,17,18,10,176
112,19.04,29,9,28,2,19,25,57,2,12,14,13,210
113,20.04,117,54,135,34,90,127,279,35,58,59,92,1080
114,21.04,94,33,123,23,74,93,213,20,46,37,75,831
115,22.04,92,31,75,22,66,100,195,41,41,41,74,778
116,23.04,98,28,108,26,72,114,192,48,42,48,61,837
117,24.04,34,11,32,5,20,41,54,7,18,13,17,252
118,25.04,17,9,13,5,20,22,36,15,14,11,27,189
119,26.04,118,43,123,19,75,142,227,51,65,49,74,986
120,27.04,74,49,98,24,60,78,191,30,43,41,45,733
121,28.04,82,23,72,14,60,80,169,20,52,33,43,648
122,29.04,49,23,57,17,58,68,163,25,36,35,46,577
123,30.04,59,24,67,9,40,92,127,36,42,36,32,564
125,01.05,10,4,8,2,14,23,37,10,18,11,11,148
126,02.05,10,4,14,3,18,15,30,8,14,6,4,126
127,03.05,49,28,79,10,44,110,155,26,50,36,34,621
128,04.05,13,4,12,4,7,23,27,5,13,6,11,125
129,05.05,63,35,70,15,42,75,178,31,43,35,42,629
130,06.05,37,19,34,17,24,60,124,27,30,30,15,417
131,07.05,58,13,39,13,36,71,134,31,31,30,32,488
132,08.05,17,9,4,4,8,28,37,6,12,5,11,141
133,09.05,8,4,16,2,8,24,40,7,13,1,8,131
134,10.05,63,23,48,8,39,82,125,25,46,34,35,528
135,11.05,50,17,35,6,31,80,93,20,22,27,13,394
136,12.05,34,22,26,9,33,48,102,17,25,29,28,373
137,13.05,18,17,46,3,22,74,87,16,24,13,23,343
138,14.05,32,17,34,7,24,49,63,13,35,17,22,313
139,15.05,6,3,11,1,5,14,34,1,6,13,9,103
140,16.05,7,4,5,0,6,8,19,1,3,4,6,63
141,17.05,31,17,40,6,27,63,96,21,23,22,28,374
142,18.05,21,20,28,3,22,40,74,13,16,15,19,271
143,19.05,18,15,31,2,17,33,70,9,16,12,22,245
144,20.05,14,7,16,3,17,38,56,5,42,10,12,220
145,21.05,28,13,19,4,14,32,68,13,20,18,24,253
146,22.05,3,5,3,2,3,7,17,3,7,2,4,56
147,23.05,5,1,8,0,4,5,12,3,3,1,4,46
148,24.05,31,21,31,4,23,24,90,5,18,17,25,289
149,25.05,21,5,18,3,16,23,61,10,7,9,23,196
150,26.05,14,8,16,2,19,26,51,4,13,9,12,174
151,27.05,18,9,7,3,14,17,63,8,9,11,17,176
152,28.05,15,11,21,2,9,25,66,6,9,13,15,192
153,29.05,5,0,4,0,9,8,12,0,6,1,7,52
154,30.05,2,0,7,0,3,6,15,1,2,3,5,44
155,31.05,25,12,18,3,26,23,60,9,33,17,23,249
157,01.06,13,5,13,1,17,20,51,8,14,12,21,175
158,02.06,16,6,17,6,11,14,55,1,8,9,9,152
159,03.06,19,3,15,2,10,20,54,2,11,13,14,163
160,04.06,14,5,14,2,12,15,41,6,12,6,34,161
161,05.06,4,2,2,0,2,7,11,1,4,3,1,37
162,06.06,0,0,0,0,2,1,16,2,5,3,1,30
163,07.06,34,18,13,6,21,32,54,7,15,11,30,241
164,08.06,10,10,11,1,15,17,50,8,6,3,18,149
165,09.06,21,12,10,5,11,24,70,5,13,11,28,210
166,10.06,19,15,11,3,16,14,49,3,10,10,17,167
167,11.06,18,12,19,10,20,27,41,8,12,11,14,192
168,12.06,3,0,1,0,3,4,11,1,2,7,3,35
169,13.06,0,0,1,1,1,4,13,1,1,0,1,23
170,14.06,20,11,20,15,14,21,72,11,15,16,23,238
171,15.06,16,7,7,4,17,22,44,6,7,14,12,156
172,16.06,19,13,12,3,8,14,70,5,3,8,8,163
173,17.06,1,3,2,0,4,5,9,0,3,1,2,30
174,18.06,7,6,23,4,13,29,54,6,16,7,15,180
175,19.06,7,1,0,1,1,7,18,2,2,1,6,46
176,20.06,4,5,2,0,5,4,9,1,2,0,3,35
177,21.06,37,15,21,8,24,37,79,6,18,14,18,277
178,22.06,25,8,5,4,12,33,77,11,5,10,17,207
179,23.06,20,15,13,2,21,24,65,9,12,8,19,208
180,25.06,32,19,13,3,22,44,78,7,9,8,17,252
181,26.06,4,4,5,1,9,8,30,2,3,2,4,72
182,27.06,2,3,3,1,7,4,23,3,3,1,5,55
183,28.06,58,32,21,18,39,63,159,13,23,15,39,480
184,29.06,28,29,34,18,21,56,123,14,11,11,34,379
185,30.06,52,17,28,6,38,45,140,15,15,12,43,411
187,01.07,61,32,24,5,44,65,135,30,27,11,28,462
188,02.07,55,10,22,21,37,52,130,27,20,17,41,432
189,03.07,11,9,7,1,5,17,31,7,5,4,7,104
190,04.07,7,6,3,1,6,16,38,2,3,3,4,89
191,05.07,87,29,63,19,59,81,253,28,33,36,81,769
192,06.07,85,45,26,22,38,98,188,22,28,36,84,672
193,07.07,82,40,38,17,63,96,239,26,23,22,98,744
194,08.07,98,43,47,15,48,103,220,20,32,21,85,732
195,09.07,91,55,49,34,67,122,274,29,25,33,92,871
196,10.07,20,10,6,4,9,24,58,4,2,8,23,168
197,11.07,19,3,9,5,15,25,52,4,2,6,12,152
198,12.07,135,105,74,38,118,169,434,46,51,137,47,1354
199,13.07,115,66,54,33,94,152,326,44,56,43,136,1119
200,14.07,143,75,54,32,117,180,381,35,54,49,115,1235
201,15.07,77,62,49,31,67,104,253,31,36,24,88,822
202,16.07,89,52,59,22,64,114,227,32,31,31,91,812
203,17.07,17,5,9,8,25,22,43,6,11,4,13,163
204,18.07,13,5,4,1,9,27,42,6,7,5,11,130
205,19.07,202,96,103,57,138,216,462,55,77,79,174,1659
206,20.07,206,113,118,53,174,271,511,74,105,79,217,1921
207,21.07,246,138,119,48,176,273,538,67,91,86,216,1998
208,22.07,256,152,120,55,174,288,529,76,122,96,205,2073
209,23.07,268,139,175,57,163,315,665,74,123,118,225,2322
210,24.07,42,22,35,25,43,55,105,14,25,14,35,415
211,25.07,37,15,37,13,36,60,103,13,23,11,34,382
212,26.07,394,233,250,100,280,435,858,132,196,176,330,3384
213,27.07,304,170,182,75,195,323,644,95,146,139,223,2496
214,28.07,281,169,143,77,207,261,597,91,178,135,207,2346
215,29.07,247,151,166,78,197,306,583,85,143,129,169,2254
216,30.07,266,147,161,74,231,324,625,78,197,144,194,2441
217,31.07,43,18,42,11,26,62,109,19,33,16,37,416
219,01.08,48,30,34,8,48,39,86,21,33,15,26,388
220,02.08,475,288,278,108,297,421,872,139,234,239,308,3659
221,03.08,361,243,198,98,273,357,744,110,179,148,252,2963
222,04.08,330,241,212,99,251,362,779,124,165,173,269,3005
223,05.08,300,232,178,80,270,347,773,111,189,164,249,2893
224,06.08,299,223,208,95,264,409,782,95,217,180,244,3016
225,07.08,46,32,34,6,50,61,103,19,35,34,31,451
226,08.08,39,29,44,6,36,42,104,17,34,17,34,402
227,09.08,413,328,270,94,394,496,869,115,281,288,362,3910
228,10.08,413,328,270,94,394,496,869,115,281,288,362,3910
229,11.08,282,197,232,87,295,381,741,93,193,208,240,2949
230,12.08,296,247,251,83,261,337,713,107,200,187,204,2886
231,13.08,296,247,207,76,286,385,737,114,215,224,252,3039
232,14.08,55,27,48,14,42,75,105,12,42,34,31,485
233,15.08,55,27,48,14,42,75,105,12,42,34,31,485
234,16.08,41,29,37,20,57,68,126,22,49,33,38,520
235,17.08,482,378,440,140,491,570,1063,166,334,383,349,4796
236,18.08,391,309,290,114,335,433,824,113,226,253,260,3548
237,19.08,289,247,312,85,341,402,808,102,238,245,242,3311
238,20.08,362,222,337,123,292,436,733,118,247,252,193,3315
239,21.08,63,31,48,21,32,56,106,23,39,33,34,486
240,22.08,39,27,43,19,34,64,112,15,49,27,49,478
241,23.08,408,305,443,114,391,507,944,152,304,293,272,4133
242,24.08,297,198,294,99,246,389,703,101,208,207,228,2970
243,25.08,252,189,286,90,249,330,565,94,217,202,151,2625
244,26.08,227,185,262,54,258,372,587,93,214,132,198,2582
245,27.08,238,159,268,72,249,353,574,101,218,174,195,2601
246,28.08,36,17,34,38,18,65,92,14,34,10,29,387
247,29.08,21,14,49,11,33,33,71,13,53,23,24,345
248,30.08,359,275,350,134,334,440,798,134,295,235,244,3598
249,31.08,226,213,213,92,241,319,601,100,224,141,174,2544
251,01.09,225,169,238,77,191,278,539,89,204,152,128,2290
252,02.09,130,94,147,54,113,178,278,44,120,82,94,1334
253,03.09,106,95,150,35,103,153,258,46,113,73,57,1189
254,04.09,29,16,35,9,19,41,55,9,24,9,19,265
255,05.09,27,11,22,5,19,33,63,14,36,16,9,255
256,06.09,207,212,281,88,208,268,482,85,194,147,134,2306
257,07.09,183,141,222,57,138,212,418,46,176,81,111,1785
258,08.09,206,173,232,68,169,278,550,79,180,118,119,2172
259,09.09,244,214,354,99,295,363,685,101,203,148,241,2947
260,10.09,180,159,287,81,192,299,578,76,193,112,133,2290
261,11.09,31,25,48,11,22,57,81,7,27,28,22,359
262,12.09,22,26,46,8,36,37,80,8,44,17,30,354
263,13.09,267,306,451,110,317,374,795,111,277,166,251,3425
264,14.09,350,346,494,123,373,403,1083,141,339,259,327,4238
265,15.09,325,369,450,116,356,416,1073,128,243,237,263,3976
266,16.09,158,186,299,47,192,226,510,86,180,129,116,2129
267,17.09,114,168,318,55,158,191,456,52,183,123,147,1965
268,18.09,21,20,62,7,48,39,85,14,35,12,35,378
269,19.09,23,28,71,16,33,49,87,17,40,16,28,408
270,20.09,248,301,531,82,293,336,822,91,257,184,251,3396
271,21.09,152,204,307,61,180,243,550,78,185,109,162,2231
272,22.09,264,280,393,98,366,388,809,101,225,199,281,3404
273,23.09,216,231,351,89,328,337,709,89,196,186,263,2995
274,24.09,130,166,209,50,209,181,466,66,139,126,155,1897
275,25.09,15,27,50,8,33,29,60,11,19,12,17,281
276,26.09,37,12,25,10,29,29,66,13,23,10,22,276
277,27.09,210,252,338,99,299,288,664,97,172,137,201,2757
278,28.09,188,184,253,84,187,227,479,68,117,115,139,2041
279,29.09,227,265,346,123,237,338,628,82,189,158,203,2796
280,30.09,337,215,292,80,233,275,558,99,172,132,207,2600
282,01.10,201,228,273,96,222,291,526,82,162,133,162,2376
283,02.10,12,11,24,5,15,24,42,14,18,12,11,188
284,03.10,5,9,23,0,4,27,38,5,13,14,15,153
285,04.10,298,294,383,128,300,340,634,106,173,171,230,3057
286,05.10,207,184,218,79,197,254,439,73,103,106,171,2031
287,06.10,190,142,235,96,232,239,426,79,100,98,125,1962
288,07.10,151,167,206,91,166,209,385,56,115,101,115,1762
289,08.10,256,166,243,119,254,370,559,95,152,116,172,2502
290,09.10,37,21,29,13,34,36,69,16,23,10,16,304
291,10.10,29,28,40,8,11,33,57,7,38,7,14,272
292,11.10,227,196,266,76,188,239,435,89,133,111,162,2122
293,12.10,179,124,149,67,147,204,307,64,104,90,109,1544
294,13.10,143,110,108,34,114,162,265,46,83,62,98,1225
295,16.10,20,7,12,9,19,20,54,9,16,9,25,200
296,17.10,20,16,22,12,16,6,42,12,21,6,15,188
297,18.10,201,164,165,80,125,184,281,60,84,81,111,1536
298,19.10,120,109,89,57,92,130,207,56,69,63,63,1055
299,20.10,104,84,135,32,81,140,187,45,48,48,54,958
300,21.10,103,59,100,40,48,112,154,29,57,33,65,800
301,22.10,89,78,74,32,67,89,137,34,49,29,62,740
302,23.10,8,12,15,6,10,17,18,11,8,6,9,120
303,24.10,19,11,7,6,15,14,26,2,12,2,14,128
304,25.10,130,88,97,27,105,117,187,44,49,51,75,970
305,26.10,98,62,57,27,65,99,120,34,48,25,59,694
306,27.10,91,67,64,31,47,96,123,23,38,24,51,655
307,28.10,58,43,53,21,57,58,81,23,24,21,54,493
308,29.10,80,54,58,18,44,71,89,26,46,23,40,549
309,30.10,9,8,6,1,12,19,28,4,5,6,9,107
310,31.10,8,6,9,2,8,19,14,6,2,2,13,89
312,01.11,74,51,54,25,38,64,109,20,46,29,45,555
313,02.11,12,3,9,4,9,18,18,8,12,2,10,105
314,03.11,84,60,71,20,32,99,115,22,32,26,47,608
315,04.11,66,36,50,23,39,70,95,17,24,12,44,476
316,05.11,52,53,35,19,39,47,58,15,27,19,24,388
317,06.11,4,4,5,3,7,10,8,2,9,2,9,63
318,07.11,16,6,5,3,5,11,19,7,6,2,18,98
319,08.11,59,39,61,17,35,63,72,21,45,20,44,476
320,09.11,46,24,26,20,42,43,68,22,32,11,35,369
321,10.11,40,20,27,18,29,32,72,15,19,24,28,324
322,11.11,46,25,26,6,23,39,70,11,25,15,26,312
323,12.11,7,3,3,4,6,7,7,3,2,3,10,55
324,13.11,8,4,0,3,7,7,8,0,10,5,6,58
325,14.11,4,5,4,1,3,9,13,2,3,1,7,52
326,15.11,60,36,50,19,30,66,96,19,27,31,38,472
327,16.11,49,24,26,23,34,51,64,14,26,18,35,364
328,17.11,48,15,34,18,22,35,46,13,11,23,25,290
329,18.11,39,23,29,9,17,30,47,12,9,11,24,250
330,19.11,44,23,13,14,21,26,40,29,10,15,20,255
331,20.11,8,4,4,0,9,5,8,2,4,3,1,48
332,21.11,6,4,5,3,3,10,5,4,3,3,8,54
333,22.11,66,26,42,7,37,47,79,21,26,19,31,401
334,23.11,38,27,20,8,35,39,71,15,15,7,29,304
335,24.11,48,24,27,4,26,32,48,15,18,27,41,310
336,25.11,26,17,16,14,28,44,44,18,13,13,22,255
337,26.11,42,23,25,12,15,25,47,20,17,18,28,272
338,27.11,10,2,4,0,0,7,9,4,1,5,8,50
339,28.11,12,4,2,1,4,3,10,4,8,0,6,54
340,29.11,66,50,44,17,33,71,80,28,33,31,37,490
341,30.11,52,30,26,13,31,56,77,20,26,22,34,387
343,01.12,52,26,39,17,40,48,77,13,16,20,28,376
344,03.12,41,34,27,16,17,29,39,22,20,18,31,294
345,04.12,14,2,4,4,0,11,16,2,7,2,9,71
346,05.12,7,6,4,2,7,9,25,3,11,1,8,83
347,06.12,93,67,36,17,38,61,114,30,27,30,59,572
348,07.12,53,33,31,19,30,56,78,22,19,36,33,410
349,08.12,72,38,40,15,29,46,78,16,19,20,52,425
350,09.12,23,23,17,5,12,18,21,9,7,9,2,146
351,12.12,22,20,21,7,12,11,24,7,6,7,18,155
352,13.12,78,88,54,39,74,69,145,50,24,36,48,705
353,14.12,65,40,30,17,47,47,104,32,26,23,39,470
354,15.12,51,35,37,15,37,41,109,23,19,18,39,424
355,19.12,12,4,4,2,7,12,18,4,4,4,9,80
356,20.12,80,73,41,22,48,43,101,33,21,45,56,563
357,21.12,72,32,38,20,35,35,109,39,12,22,46,460
358,22.12,49,44,22,32,51,26,98,37,17,21,32,429
359,23.12,63,36,27,17,37,32,112,22,10,22,45,423
360,24.12,64,33,32,27,39,46,85,24,7,10,40,407
361,25.12,11,6,5,2,8,7,19,5,6,5,6,80
362,26.12,14,7,3,12,11,11,20,6,5,3,17,109
363,27.12,13,12,3,0,18,22,22,9,3,3,13,118
364,28.12,52,41,43,28,44,42,114,35,28,22,46,495
365,29.12,52,37,31,21,29,41,93,15,18,18,22,377
366,30.12,68,45,20,24,38,44,95,17,17,17,42,427
Total,,173393,138428,121052,57473,133721,171448,350396,52262,81576,52023,145509,1477281
