,Data,dolnośląskie,kujawsko -pomorskie,lubelskie,lubuskie,łódzkie,małopolskie,mazowieckie,opolskie,podkarpackie,podlaskie,pomorskie,Total
1,01.01,1109,562,478,316,746,1276,1718,405,536,160,776,8082
2,02.01,624,312,196,251,360,764,1131,277,252,65,555,4787
3,03.01,466,260,180,150,273,980,969,234,246,104,469,4331
4,04.01,1096,687,537,219,835,1122,1690,296,565,231,737,8015
5,05.01,1297,765,715,330,1063,2174,2601,389,681,297,1157,11469
6,06.01,1656,775,692,440,801,2018,2413,481,758,267,1075,11376
7,07.01,1015,484,401,260,483,1687,2147,282,561,118,816,8254
8,08.01,935,583,436,267,666,1394,1621,320,540,201,667,7630
9,09.01,927,390,468,252,590,1469,1820,249,508,212,887,7772
10,10.01,671,275,256,169,421,1038,1513,250,349,55,563,5560
11,11.01,822,610,604,189,785,1355,1750,170,627,237,900,8049
12,12.01,1334,612,774,293,758,2174,2812,442,919,280,1040,11438
13,13.01,1389,656,748,362,744,2507,2909,474,941,280,1114,12124
14,14.01,1452,589,605,231,810,2208,2812,353,918,224,1140,11342
15,15.01,1370,644,869,248,683,2290,2759,381,1122,257,1181,11804
16,16.01,1329,447,491,241,710,2269,2578,335,795,222,814,10231
17,17.01,658,293,349,171,530,1428,2273,249,613,121,662,7347
18,18.01,1879,776,1274,205,1191,2000,3610,394,1204,376,1063,13972
19,19.01,2458,986,1362,354,1360,3471,5594,623,1789,518,2341,20856
20,20.01,2789,1161,1543,454,1773,3653,5863,753,1913,596,2145,22643
21,21.01,3203,1158,1697,514,1765,4207,6227,699,2403,585,2251,24709
22,22.01,3644,1404,1800,495,2387,4001,7120,1000,2329,818,2857,27855
23,23.01,2746,1148,1507,581,1889,3362,5781,1036,2001,453,2907,23411
24,24.01,2764,744,1147,469,1453,2868,5348,532,1481,376,2285,19467
25,25.01,3167,1147,2453,451,2473,3230,6340,875,2004,922,1147,24209
26,26.01,4423,2204,3001,649,3499,4557,8524,1219,2785,1259,3722,35842
27,27.01,4568,2498,3287,759,3099,4281,9788,1286,2666,1187,5285,38704
28,28.01,4788,2186,3061,887,3877,4475,8262,1632,2552,1207,4211,37138
29,29.01,4120,1955,2989,927,3443,3881,8367,1488,2517,1261,1955,32903
30,30.01,4005,2432,2318,733,3044,3591,6790,1591,2340,754,4204,31802
31,31.01,3363,1285,1483,740,2141,2540,4978,1068,959,489,3226,22272
33,01.02,3239,1798,2000,836,2710,2919,6236,931,1429,1079,2875,26052
34,02.02,4173,3066,3691,906,3663,4276,7608,1416,2442,1444,3826,36511
35,03.02,4537,3123,2735,1142,3902,3821,7858,1522,1913,1274,3722,35549
36,04.02,3469,2798,2475,1331,3344,3127,7080,1071,1932,1107,3389,31123
37,05.02,3391,2702,2299,1029,3338,2872,6536,1380,1382,1026,3216,29171
38,06.02,2844,2483,1540,1289,2517,2076,4962,959,1044,562,2836,23112
39,07.02,1919,1926,1025,880,1690,1530,3715,628,654,458,1913,16338
40,08.02,3045,2737,2462,813,2595,1909,4925,538,1027,962,2471,23484
41,09.02,3395,4222,2430,1085,3381,2797,6656,1072,1208,1143,3425,30814
42,10.02,3266,3716,2056,1512,2750,2424,5601,938,1180,903,3004,27350
43,11.02,2756,3714,1867,1259,2070,1992,4575,934,778,735,2251,22931
44,12.02,2027,3222,1557,1215,2083,1759,4253,615,671,768,2236,20406
45,13.02,1833,2538,803,871,1380,1153,2926,647,461,398,1400,14410
46,14.02,996,1444,516,679,789,705,2153,293,308,228,965,9076
